Texture_Contrast_Nuclei_3_00_256,Intensity_MeanIntensityEdge_Nuclei,Texture_DifferenceEntropy_Nuclei_3_00_256,Intensity_MaxIntensityEdge_Nuclei,Intensity_StdIntensityEdge_Nuclei,Intensity_LowerQuartileIntensity_Nuclei,Texture_Correlation_Nuclei_3_02_256,Texture_InfoMeas1_Nuclei_3_02_256,Intensity_MeanIntensity_Nuclei,Intensity_StdIntensity_Nuclei,Texture_InfoMeas1_Nuclei_3_03_256,Texture_Contrast_Nuclei_3_01_256,Intensity_MinIntensityEdge_Nuclei,Intensity_MinIntensity_Nuclei,Intensity_MADIntensity_Nuclei,Texture_Correlation_Nuclei_3_00_256,Texture_AngularSecondMoment_Nuclei_3_00_256,Intensity_IntegratedIntensityEdge_Nuclei,Intensity_IntegratedIntensity_Nuclei,Intensity_MassDisplacement_Nuclei,Intensity_MaxIntensity_Nuclei,Texture_Correlation_Nuclei_3_03_256,CellType
18.51421608,0.017315644,3.252309195,0.03251569,0.00402973,0.027991766,0.54219544,-0.087160454,0.043033848,0.018357616,-0.057060201,24.9318569,0.00989608,0.00989608,0.014985487,0.537082421,0.011312156,2.943659513,72.88038352,1.864103798,0.071817264,0.388220904,M1
16.02891326,0.018657196,3.159107112,0.034777649,0.004786007,0.029688237,0.307222489,-0.043870101,0.043231334,0.017093911,-0.044679238,26.21336207,0.008199609,0.008199609,0.013289023,0.534549801,0.009486993,2.649321831,72.84051708,0.958199654,0.071817264,0.227015671,M1
22.26492537,0.018254237,3.151896214,0.034777649,0.004803352,0.033363923,0.592310975,-0.132232311,0.052852991,0.02089066,-0.083474004,27.31841432,0.00989608,0.00989608,0.010461576,0.500604995,0.130078773,1.953203331,72.63863648,0.62381397,0.071817264,0.344206575,M1
18.06914498,0.023146631,3.249953164,0.064183146,0.011902725,0.035696573,0.396017084,-0.067694872,0.048338944,0.017194506,-0.042654181,25.66207455,0.008482354,0.008482354,0.013854511,0.465850802,0.016212877,3.402554824,71.78333256,0.95509208,0.071817264,0.255780245,M1
16.02181401,0.017905785,3.160389737,0.031101963,0.004386635,0.026578041,0.46902991,-0.074870685,0.038580307,0.015663508,-0.049750998,22.85130112,0.009047844,0.009047844,0.010744317,0.472601353,0.007469936,2.399375133,71.23848244,0.363487325,0.071817264,0.265677797,M1
19.08264463,0.018721766,3.270042795,0.031101963,0.00469738,0.029970981,0.641220048,-0.121998287,0.044646145,0.017508588,-0.069468752,21.65138593,0.009330589,0.009330589,0.014420001,0.461956806,0.00848911,2.096837847,69.57056939,0.570204825,0.071817264,0.421641134,M1
14.73559823,0.019279384,3.083893383,0.03534314,0.004935729,0.024881572,0.236462227,-0.053301448,0.035037161,0.013072004,-0.04461084,20.72283465,0.009330589,0.009330589,0.008765098,0.311535156,0.00944518,2.274967288,69.03731177,0.217304204,0.071817264,0.033116274,M1
15.71044467,0.018687536,3.134787256,0.033363923,0.004295302,0.026295297,0.431071728,-0.058860289,0.039031691,0.015718831,-0.03407401,20.86550976,0.01215804,0.01215804,0.01187529,0.490596716,0.006580122,2.20512923,68.9844389,0.775584884,0.071817264,0.194716473,M1
4.482059282,0.018123458,2.296832052,0.030819217,0.004334229,0.018661179,0.229247238,-0.038793806,0.02289172,0.006086326,-0.019220406,4.579734219,0.010178825,0.010178825,0.003534313,0.097978403,0.040616383,2.029827259,68.65362681,0.492637505,0.051176868,0.101944691,M1
12.29234973,0.021756091,2.995138098,0.042977259,0.007870133,0.031667456,0.428399652,-0.094290731,0.045257484,0.01762803,-0.088841895,22.61769115,0.01046157,0.01046157,0.013571765,0.659106514,0.024971819,2.414926127,67.9136828,0.37461746,0.071817264,0.41138809,M1
15.86672474,0.017965379,3.146458089,0.027709022,0.003736794,0.029970981,0.593442261,-0.119044463,0.044511235,0.018272548,-0.085232808,20.9562443,0.009613334,0.009613334,0.013995886,0.605077335,0.022129836,2.066018632,67.79012314,1.797530306,0.071817264,0.489143781,M1
10.35404455,0.018628464,2.799000825,0.030536473,0.004443196,0.02375059,0.39230777,-0.070701549,0.032324087,0.011794891,-0.049900624,13.54891995,0.009047844,0.009047844,0.007634122,0.427380582,0.012064859,2.254044146,67.58174043,1.557612611,0.071817264,0.268326258,M1
17.82093664,0.019700951,3.204653976,0.042977259,0.006963463,0.028840002,0.334774886,-0.0692375,0.041170134,0.016016337,-0.049000147,25.09777778,0.010178825,0.010178825,0.010744317,0.428505197,0.008580357,1.832188415,66.44934569,0.968913869,0.071817264,0.23341304,M1
17.00255918,0.01827283,3.215145772,0.034212161,0.004583299,0.036474124,0.498546826,-0.070312899,0.048894143,0.017337844,-0.029312923,21.40013141,0.009330589,0.009330589,0.013571769,0.480151371,0.014730641,3.033289701,65.91213007,0.584702975,0.071817264,0.186784224,M1
13.8136646,0.019093835,3.066469712,0.035625886,0.004457198,0.029122747,0.495363573,-0.078916512,0.042314309,0.016920657,-0.069716589,24.3219697,0.00989608,0.00989608,0.012723533,0.596203955,0.009224654,2.844981469,65.46426218,1.196996698,0.071817264,0.451590652,M1
15.25335721,0.020948315,3.136866399,0.050328631,0.007664464,0.029405491,0.53323584,-0.084929,0.041791683,0.016295908,-0.074348303,22.04971857,0.008482354,0.008482354,0.011309806,0.515515907,0.010224102,3.058454027,65.45719315,0.330598791,0.071817264,0.441074858,M1
17.07112616,0.018625236,3.192806604,0.028557256,0.004034472,0.029405491,0.568885912,-0.0920073,0.044505706,0.017548778,-0.075025788,22.29758713,0.010744315,0.010744315,0.014844118,0.53815004,0.008721207,2.197777857,65.15041482,1.64396826,0.071817264,0.487702715,M1
16.16459198,0.018000885,3.179473472,0.028840002,0.003887459,0.028840002,0.558801003,-0.087849305,0.042070269,0.016962026,-0.03593399,20.32925953,0.009047844,0.009047844,0.012440786,0.52973376,0.009824402,3.060150512,64.4562756,1.445326881,0.071817264,0.308088143,M1
11.57997558,0.028347817,2.905661446,0.068141572,0.015251665,0.041280787,0.523553276,-0.123293474,0.052985317,0.017290494,-0.101356648,17.87903226,0.008199609,0.008199609,0.016116472,0.636809575,0.064804006,3.061564201,64.45005547,0.564494869,0.071817264,0.45225216,M1
17.44356578,0.017858932,3.222450289,0.033929415,0.004243936,0.03251569,0.58914304,-0.107258682,0.046824209,0.018100428,-0.042281678,22.8103062,0.009613334,0.009613334,0.014844118,0.531547839,0.023959096,2.96458264,64.32253687,0.898866426,0.071817264,0.288069674,M1
13.46428571,0.018474645,3.037660467,0.033929415,0.004709374,0.029122747,0.630279508,-0.112463793,0.046002434,0.019232412,-0.076183864,22.3364486,0.008765099,0.008765099,0.017812945,0.701455795,0.034490989,2.660348884,64.12263612,1.331531275,0.071817264,0.519778218,M1
21.70323326,0.026056051,3.338937953,0.065879613,0.014563241,0.042623827,0.328557872,-0.062852683,0.053302997,0.018111658,-0.042552475,22.64691657,0.008765099,0.008765099,0.014702752,0.340720285,0.035483415,3.387286593,63.82094684,0.804858042,0.071817264,0.078691981,M1
6.786324786,0.01858252,2.571004596,0.033929415,0.004750801,0.024598826,0.611588253,-0.11664083,0.032958167,0.011571355,-0.067920132,8.847809948,0.01102706,0.01046157,0.007351372,0.605485107,0.013886606,2.471475148,63.2755319,1.038608442,0.071817264,0.477250692,M1
6.383458647,0.01728912,2.511791515,0.024033336,0.002741613,0.019509414,0.554856644,-0.111839356,0.026468483,0.010558113,-0.074875577,8.521103896,0.01159255,0.01159255,0.004806668,0.57970175,0.028863135,1.642466445,63.18109469,0.167809528,0.071817264,0.328230985,M1
8.073313783,0.017591664,2.692943089,0.026012551,0.003272328,0.024881572,0.541179158,-0.091193254,0.035083937,0.012917516,-0.07960929,13.38617886,0.01102706,0.01102706,0.009330589,0.597069086,0.010690578,2.023041378,62.75273609,0.304033692,0.071817264,0.473041039,M1
12.8957476,0.018487181,2.985667343,0.035908632,0.004477028,0.028274512,0.294729904,-0.069308412,0.038121523,0.013836208,-0.068687462,18.77908689,0.009330589,0.009330589,0.009330589,0.450358719,0.009260671,1.682333498,62.72700584,0.484257265,0.071817264,0.211387244,M1
14.08602151,0.017759777,3.090559383,0.032798436,0.00459569,0.033363923,0.430875419,-0.0699637,0.046602501,0.017800354,-0.059101488,22.08315565,0.006503138,0.006503138,0.014419999,0.614910524,0.014898297,2.077893934,62.49119666,0.115516904,0.071817264,0.335333281,M1
22.92623942,0.020053484,3.407461211,0.042411771,0.007258568,0.030536473,0.585616163,-0.115912014,0.043633205,0.017386304,-0.051924179,24.69183168,0.008482354,0.008482354,0.012723528,0.360234573,0.013195083,2.647059871,61.9768836,0.121129908,0.071817264,0.274984207,M1
13.26217765,0.018540456,3.012125629,0.03138471,0.004375116,0.028840002,0.362831873,-0.073863444,0.038773257,0.013308815,-0.055065961,17.11538462,0.008482354,0.008482354,0.00975471,0.362592449,0.008688352,1.650100558,61.93305781,0.331790054,0.071817264,0.27936528,M1
13.72007042,0.018414995,3.060804222,0.028557256,0.003979015,0.028840002,0.564035657,-0.09671122,0.04230368,0.016492548,-0.063663336,21.70177074,0.010178825,0.010178825,0.012582159,0.582109406,0.00868387,2.136139421,61.67208464,1.253818788,0.071817264,0.399824895,M1
18.11005693,0.019458227,3.24423045,0.035625886,0.005639721,0.035060395,0.463127575,-0.072451588,0.047820494,0.01682331,-0.038915652,23.40671273,0.00989608,0.00989608,0.013289019,0.420796659,0.010987329,2.257154341,61.40969645,0.748441011,0.071817264,0.192836414,M1
10.26575342,0.018054562,2.846244133,0.03138471,0.004543293,0.025447061,0.123532738,-0.050321802,0.032481366,0.010726757,-0.038377703,12.27203647,0.00989608,0.00989608,0.006785881,0.286392779,0.014882717,1.986001767,61.28755146,0.43960373,0.070686281,0.160806101,M1
19.60119048,0.018302253,3.288077879,0.039301574,0.005063873,0.028627942,0.55187964,-0.092824491,0.045225584,0.019058057,-0.052748221,25.21048951,0.007351373,0.007351373,0.016964708,0.545517974,0.021157897,3.532334843,61.06503022,1.485368693,0.071817264,0.373670511,M1
16.23900415,0.017769038,3.16496832,0.028274512,0.003924993,0.025447061,0.515180947,-0.078745986,0.037735724,0.015937361,-0.049767763,20.38003503,0.009047844,0.009047844,0.010744317,0.486581026,0.007511579,2.860815189,60.6714493,2.375842313,0.071817264,0.319431483,M1
16.17180984,0.018823092,3.161327294,0.03534314,0.00537849,0.035979318,0.294523567,-0.042373442,0.046770523,0.01583091,-0.037046479,26.01784121,0.009613334,0.009613334,0.011309806,0.420427606,0.009114838,2.202301764,60.26118605,0.208695534,0.071817264,0.264201526,M1
14.5874477,0.017912025,3.100323593,0.030819217,0.003866449,0.032232944,0.449883148,-0.064975562,0.044484734,0.016471567,-0.043075719,21.92605634,0.010744315,0.010744315,0.012158042,0.538449928,0.009809002,2.095706872,60.17127295,0.990019094,0.071817264,0.294913537,M1
16.4556962,0.018053696,3.156553028,0.029688237,0.004407719,0.026578041,0.281794778,-0.053723835,0.037863808,0.014856544,-0.063936097,25.21440823,0.01046157,0.01046157,0.010461573,0.395649056,0.007413175,1.823423308,60.04771324,0.514270802,0.071817264,0.143468958,M1
