Texture_Contrast_Nuclei_3_00_256,AreaShape_Area,Texture_DifferenceEntropy_Nuclei_3_00_256,AreaShape_Zernike_4_2,Texture_Correlation_Nuclei_3_02_256,AreaShape_Eccentricity,Texture_InfoMeas1_Nuclei_3_02_256,Texture_DifferenceVariance_Nuclei_3_00_256,Texture_Contrast_Nuclei_3_01_256,Texture_InfoMeas1_Nuclei_3_01_256,AreaShape_Zernike_0_0,AreaShape_Zernike_4_4,Texture_Correlation_Nuclei_3_00_256,Texture_AngularSecondMoment_Nuclei_3_00_256,AreaShape_Compactness,AreaShape_BoundingBoxMaximum_Y,AreaShape_Orientation,AreaShape_MaximumRadius,AreaShape_Zernike_7_1,AreaShape_Zernike_2_0,AreaShape_MinFeretDiameter,AreaShape_Zernike_7_5,Texture_InfoMeas1_Nuclei_3_03_256,CellType
18.51421608,1419,3.252309195,0.056124642,0.54219544,0.86937717,-0.087160454,0.003881276,24.9318569,-0.051948722,0.483282706,0.017780214,0.537082421,0.011312156,2.239238367,139,12.70497163,12.04159458,0.011722166,0.119590548,38.20450533,0.017639563,-0.057060201,M1
16.02891326,1144,3.159107112,0.05121995,0.307222489,0.830039242,-0.043870101,0.004182298,26.21336207,-0.040982843,0.53374351,0.01641641,0.534549801,0.009486993,1.879300295,137,83.4314342,11.66190379,0.012968466,0.151411991,31.37858162,0.014315582,-0.044679238,M1
22.26492537,931,3.151896214,0.013744162,0.592310975,0.600772794,-0.132232311,0.006567557,27.31841432,-0.086320655,0.635936704,0.029924906,0.500604995,0.130078773,1.323451812,148,16.38433348,14.86606875,0.008096016,0.19088098,31.7771167,0.005371792,-0.083474004,M1
18.06914498,1485,3.249953164,0.038295278,0.396017084,0.833606764,-0.067694872,0.003677793,25.66207455,-0.034046952,0.521237927,0.021932238,0.465850802,0.016212877,1.590259509,171,-63.55777517,17.2626765,0.00657622,0.152492736,35.8701039,0.009671719,-0.042654181,M1
16.02181401,1011,3.160389737,0.029204608,0.46902991,0.720422492,-0.074870685,0.004083377,22.85130112,-0.05229476,0.582897918,0.032201749,0.472601353,0.007469936,1.883994193,177,-16.95081054,10.44030651,0.00842393,0.112535864,32.46559099,0.006996803,-0.049750998,M1
19.08264463,1107,3.270042795,0.014692979,0.641220048,0.704662431,-0.121998287,0.00338288,21.65138593,-0.062351928,0.658326098,0.020636827,0.461956806,0.00848911,1.215210224,183,-4.253273,15.03329638,0.012320322,0.185622535,30.9208273,0.005743383,-0.069468752,M1
14.73559823,791,3.083893383,0.039800917,0.236462227,0.90303242,-0.053301448,0.004641394,20.72283465,-0.039395643,0.438071637,0.030285874,0.311535156,0.00944518,1.889713504,194,57.67920564,9.219544457,0.014730507,0.092712877,23.24952775,0.004702578,-0.04461084,M1
15.71044467,1099,3.134787256,0.01185112,0.431071728,0.629229537,-0.058860289,0.004063435,20.86550976,-0.057286199,0.713741198,0.031291292,0.490596716,0.006580122,1.376604463,204,-1.458242606,13.34166406,0.003931387,0.1444087,35.50721551,0.021703874,-0.03407401,M1
4.482059282,771,2.296832052,0.060489151,0.229247238,0.869333911,-0.038793806,0.012520197,4.579734219,-0.018616851,0.52383548,0.016639037,0.097978403,0.040616383,1.795181898,204,-4.839751245,10.63014581,0.001218269,0.133904428,24.55887745,0.006032705,-0.019220406,M1
12.29234973,836,2.995138098,0.03339221,0.428399652,0.766707811,-0.094290731,0.004958495,22.61769115,-0.078128765,0.519233297,0.017413377,0.659106514,0.024971819,1.661702017,205,-88.43056193,11.18033989,0.006277935,0.170020577,30.39800095,0.013138713,-0.088841895,M1
